Year,TFR
1970,4.530
1971,4.540
1972,4.120
1973,4.070
1974,3.770
1975,3.430
1976,3.000
1977,2.990
1978,2.640
1979,2.900
1980,2.820
1981,2.570
1982,2.390
1983,2.060
1984,1.740
1985,1.660
1986,1.580
1987,1.530
1988,1.550
1989,1.560
1990,1.570
1991,1.710
1992,1.760
1993,1.654
1994,1.656
1995,1.634
1996,1.574
1997,1.537
1998,1.464
1999,1.425
2000,1.480
2001,1.309
2002,1.178
2003,1.191
2004,1.164
2005,1.085
2006,1.132
2007,1.259
2008,1.192
2009,1.149
2010,1.226
2011,1.244
2012,1.297
2013,1.187
2014,1.205
2015,1.239
2016,1.172
2017,1.052
2018,0.977
2019,0.918
2020,0.837
2021,0.808
2022,0.778
2023,0.721
2024,0.748
2025,0.800
